Agency Name,State Name,Locale
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,11-City: Large
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,11-City: Large
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,11-City: Large
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,13-City: Small
ACHILLE,Oklahoma,42-Rural: Distant
ACKERMAN CHARTER,California,31-Town: Fringe
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,13-City: Small
ACT ACADEMY CYBER CS,Pennsylvania,11-City: Large
ACTON PUBLIC SCHOOLS,Maine,42-Rural: Distant
ACTON-AGUA DULCE UNIFIED,California,41-Rural: Fringe
ACTON-BOXBOROUGH,Massachusetts,21-Suburb: Large
ACUSHNET,Massachusetts,22-Suburb: Mid-size
AD PRIMA CS,Pennsylvania,11-City: Large
ADA,Oklahoma,33-Town: Remote
ADA EXEMPTED VILLAGE,Ohio,41-Rural: Fringe
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,43-Rural: Remote
ADAIR,Oklahoma,42-Rural: Distant
ADAIR CO. R-I,Missouri,42-Rural: Distant
ADAIR CO. R-II,Missouri,42-Rural: Distant
ADAIR COUNTY,Kentucky,33-Town: Remote
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,43-Rural: Remote
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,33-Town: Remote
ADAMS 1 MAPLETON AU,Colorado,21-Suburb: Large
ADAMS 12 FIVE STAR SCHOOLS,Colorado,21-Suburb: Large
ADAMS 12 NORTHGLENN AU,Colorado,21-Suburb: Large
ADAMS 14 COMMERCE CITY AU,Colorado,13-City: Small
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,21-Suburb: Large
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,42-Rural: Distant
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,41-Rural: Fringe
ADAMS COUNTY BOCES,Colorado,21-Suburb: Large
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,41-Rural: Fringe
ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,41-Rural: Fringe
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,42-Rural: Distant
ADAMS-ARAP 28J AURORA AU,Colorado,11-City: Large
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,43-Rural: Remote
ADDISON CENTRAL SCHOOL DISTRICT,New York,42-Rural: Distant
ADDISON CENTRAL SUPERVISORY UNION,Vermont,32-Town: Distant
ADDISON CENTRAL UNIFIED SCHOOL DISTRICT,VERMONT,32-Town: Distant
ADDISON COMMUNITY SCHOOLS,Michigan,42-Rural: Distant
ADDISON NORTHWEST SUPERVISORY UNION,Vermont,32-Town: Distant
ADDISON NORTHWEST UNIFIED SCHOOL DISTRICT,VERMONT,32-Town: Distant
ADDISON SD 4,Illinois,21-Suburb: Large
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,31-Town: Fringe
ADEL SD 21,Oregon,43-Rural: Remote
ADELANTE CHARTER DISTRICT,CALIFORNIA,13-City: Small
ADELANTE SCHOOLS,INDIANA,11-City: Large
ADELANTO ELEMENTARY,California,21-Suburb: Large
ADELINE MONTESSORI SCHOOL INC AGENCY,WISCONSIN,21-Suburb: Large
ADENA LOCAL,Ohio,42-Rural: Distant
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,42-Rural: Distant
ADLAI E STEVENSON HSD 125,Illinois,21-Suburb: Large
ADMIRAL PEARY AVTS,Pennsylvania,31-Town: Fringe
ADNA SCHOOL DISTRICT,Washington,42-Rural: Distant
ADRIAN ISD,Texas,43-Rural: Remote
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,43-Rural: Remote
ADRIAN PUBLIC SCHOOLS,Michigan,32-Town: Distant
ADRIAN R-III,Missouri,42-Rural: Distant
ADRIAN SD 61,Oregon,42-Rural: Distant
ADVANCE R-IV,Missouri,42-Rural: Distant
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,21-Suburb: Large
ADVANCED TECHNOLOGY ACADEMY,Michigan,13-City: Small
ADVANTAGE ACADEMY,Texas,21-Suburb: Large
ADVANTAGE ARTS ACADEMY,UTAH,21-Suburb: Large
ADVANTAGE CHARTER ACADEMY,LOUISIANA,21-Suburb: Large
AEA 13 GREEN HILLS AEA,Iowa,41-Rural: Fringe
AECI II:  NYC CHARTER HS-COMP ENGIN,NEW YORK,11-City: Large
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,22-Suburb: Mid-size
AFFTON 101,Missouri,21-Suburb: Large
AFSA HIGH SCHOOL,Minnesota,21-Suburb: Large
AFTON,Oklahoma,42-Rural: Distant
AFTON CENTRAL SCHOOL DISTRICT,New York,42-Rural: Distant
AGAMIM CLASSICAL ACADEMY,Minnesota,13-City: Small
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,43-Rural: Remote
AGATE SCHOOL DISTRICT NO. 300,Colorado,43-Rural: Remote
AGAWAM,Massachusetts,21-Suburb: Large
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,13-City: Small
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,43-Rural: Remote
AGORA CYBER CS,Pennsylvania,21-Suburb: Large
AGRA,Oklahoma,42-Rural: Distant
AGUA DULCE ISD,Texas,42-Rural: Distant
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,22-Suburb: Mid-size
AGUILA ELEMENTARY DISTRICT (4249),Arizona,43-Rural: Remote
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,43-Rural: Remote
AGWSR COMM SCHOOL DISTRICT,Iowa,43-Rural: Remote
AHSTW COMM SCHOOL DISTRICT,Iowa,43-Rural: Remote
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,11-City: Large
AIBT NON-PROFIT CHARTER HIGH SCHOOL INC. (449790),ARIZONA,21-Suburb: Large
AIKEN 01,South Carolina,21-Suburb: Large
AINSWORTH COMMUNITY SCHOOLS,Nebraska,43-Rural: Remote
AIRLINE CSD,Maine,42-Rural: Distant
AIRPORT COMMUNITY SCHOOLS,Michigan,41-Rural: Fringe
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,42-Rural: Distant
AJO UNIFIED DISTRICT (4409),Arizona,33-Town: Remote
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,11-City: Large
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,42-Rural: Distant
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,42-Rural: Distant
AKIN CCSD 91,Illinois,42-Rural: Distant
AKRON CENTRAL SCHOOL DISTRICT,New York,31-Town: Fringe
AKRON CITY,Ohio,12-City: Mid-size
AKRON PREPARATORY SCHOOL,Ohio,12-City: Mid-size
AKRON SCHOOL DISTRICT NO. R-1,Colorado,43-Rural: Remote
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,42-Rural: Distant
AKRON-FAIRGROVE SCHOOLS,Michigan,42-Rural: Distant
AKROS MIDDLE SCHOOL,Ohio,12-City: Mid-size
AL INST DEAF AND BLIND,Alabama,32-Town: Distant
ALABAMA CLINICAL SCHOOLS,Alabama,12-City: Mid-size
ALABAMA SCHOOL OF FINE ARTS,Alabama,12-City: Mid-size
ALABAMA YOUTH SERVICES,Alabama,41-Rural: Fringe
ALABASTER CITY,Alabama,21-Suburb: Large
ALACHUA,Florida,12-City: Mid-size
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,11-City: Large
ALAMANCE COMMUNITY SCHOOL,NORTH CAROLINA,41-Rural: Fringe
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,41-Rural: Fringe
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,21-Suburb: Large
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,21-Suburb: Large
ALAMEDA COUNTY OFFICE OF EDUCATION,California,21-Suburb: Large
ALAMEDA UNIFIED,California,21-Suburb: Large
ALAMO,Tennessee,32-Town: Distant
ALAMO HEIGHTS ISD,Texas,21-Suburb: Large
ALAMOGORDO PUBLIC SCHOOLS,New Mexico,33-Town: Remote
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,33-Town: Remote
ALANSON PUBLIC SCHOOLS,Michigan,42-Rural: Distant
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,43-Rural: Remote
ALBA PUBLIC SCHOOLS,Michigan,43-Rural: Remote
ALBA-GOLDEN ISD,Texas,42-Rural: Distant
ALBANY CITY SCHOOL DISTRICT,New York,13-City: Small
ALBANY CITY UNIFIED,California,21-Suburb: Large
ALBANY COMMUNITY CHARTER SCHOOL,New York,13-City: Small
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,33-Town: Remote
ALBANY ISD,Texas,43-Rural: Remote
ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,New York,13-City: Small
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,32-Town: Distant
ALBANY R-III,Missouri,43-Rural: Remote
ALBANY SCHOOL DISTRICT,New Hampshire,41-Rural: Fringe
ALBANY SCHOOL DISTRICT,Wisconsin,42-Rural: Distant
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,21-Suburb: Large
ALBEMARLE CO PBLC SCHS,Virginia,41-Rural: Fringe
ALBERS SD 63,Illinois,42-Rural: Distant
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,43-Rural: Remote
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY DISTRICT,CALIFORNIA,11-City: Large
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE DISTRICT,CALIFORNIA,11-City: Large
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,21-Suburb: Large
ALBERT GALLATIN AREA SD,Pennsylvania,41-Rural: Fringe
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,33-Town: Remote
ALBERTON K-12 SCHOOLS,Montana,42-Rural: Distant
ALBERTVILLE CITY,Alabama,32-Town: Distant
ALBIA COMM SCHOOL DISTRICT,Iowa,33-Town: Remote
ALBION,Oklahoma,43-Rural: Remote
ALBION CENTRAL SCHOOL DISTRICT,New York,32-Town: Distant
ALBUQUERQUE BILINGUAL ACADEMY,New Mexico,11-City: Large
ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,NEW MEXICO,11-City: Large
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,11-City: Large
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,11-City: Large
ALBURG SCHOOL DISTRICT,Vermont,42-Rural: Distant
ALBURNETT COMM SCHOOL DISTRICT,Iowa,41-Rural: Fringe
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,43-Rural: Remote
ALCOA,Tennessee,21-Suburb: Large
ALCONA COMMUNITY SCHOOLS,Michigan,42-Rural: Distant
ALCORN SCHOOL DIST,Mississippi,42-Rural: Distant
ALDEN CENTRAL SCHOOL DISTRICT,New York,41-Rural: Fringe
ALDEN COMM SCHOOL DISTRICT,Iowa,42-Rural: Distant
ALDEN HEBRON SD 19,Illinois,42-Rural: Distant
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,42-Rural: Distant
ALDER ELEM,Montana,43-Rural: Remote
ALDER GROVE CHARTER SCHOOL 2 DISTRICT,CALIFORNIA,33-Town: Remote
ALDINE ISD,Texas,21-Suburb: Large
ALDO LEOPOLD CHARTER,New Mexico,33-Town: Remote
ALEDO ISD,Texas,41-Rural: Fringe
ALEGENT/IMMANUEL RTC,Nebraska,11-City: Large
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,43-Rural: Remote
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,43-Rural: Remote
ALEX,Oklahoma,42-Rural: Distant
ALEXANDER 2,North Dakota,43-Rural: Remote
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,32-Town: Distant
ALEXANDER CITY,Alabama,32-Town: Distant
ALEXANDER COUNTY SCHOOLS,North Carolina,41-Rural: Fringe
ALEXANDER LOCAL,Ohio,42-Rural: Distant
ALEXANDER PUBLIC SCHOOLS,Maine,43-Rural: Remote
ALEXANDER VALLEY UNION ELEMENTARY,California,41-Rural: Fringe
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,42-Rural: Distant
ALEXANDRIA CITY PBLC SCHS,Virginia,12-City: Mid-size
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,23-Suburb: Small
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,41-Rural: Fringe
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,42-Rural: Distant
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,41-Rural: Fringe
ALGOMA SCHOOL DISTRICT,Wisconsin,32-Town: Distant
ALGONA COMM SCHOOL DISTRICT,Iowa,41-Rural: Fringe
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,21-Suburb: Large
ALHAMBRA ELEMENTARY DISTRICT (4280),Arizona,11-City: Large
ALHAMBRA UNIFIED,California,21-Suburb: Large
ALICE ISD,Texas,32-Town: Distant
ALICE M. HARTE ELEMENTARY CHARTER SCHOOL,LOUISIANA,11-City: Large
ALIEF ISD,Texas,11-City: Large
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,11-City: Large
ALINE-CLEO,Oklahoma,43-Rural: Remote
ALIQUIPPA SD,Pennsylvania,21-Suburb: Large
ALISAL UNION,California,12-City: Mid-size
ALL ABOARD CHARTER SCHOOL (79969),Arizona,11-City: Large
ALL TRIBES CHARTER DISTRICT,CALIFORNIA,42-Rural: Distant
ALL TRIBES ELEMENTARY CHARTER DISTRICT,CALIFORNIA,42-Rural: Distant
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,32-Town: Distant
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,41-Rural: Fringe
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,32-Town: Distant
ALLEGAN PUBLIC SCHOOLS,Michigan,32-Town: Distant
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,13-City: Small
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,41-Rural: Fringe
ALLEGHANY CO PBLC SCHS,Virginia,41-Rural: Fringe
ALLEGHANY COUNTY SCHOOLS,North Carolina,43-Rural: Remote
ALLEGHENY IU 3,Pennsylvania,21-Suburb: Large
ALLEGHENY VALLEY SD,Pennsylvania,21-Suburb: Large
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,43-Rural: Remote
ALLEGIANCE STEAM ACADEMY - THRIVE DISTRICT,CALIFORNIA,13-City: Small
ALLEGIANT PREPARATORY ACADEMY,INDIANA,11-City: Large
ALLEN,Oklahoma,43-Rural: Remote
ALLEN CONSOLIDATED SCHOOLS,Nebraska,42-Rural: Distant
ALLEN COUNTY,Kentucky,41-Rural: Fringe
ALLEN COUNTY ESC,Ohio,23-Suburb: Small
ALLEN EAST LOCAL,Ohio,41-Rural: Fringe
ALLEN ISD,Texas,21-Suburb: Large
ALLEN PARISH,Louisiana,42-Rural: Distant
ALLEN PARK PUBLIC SCHOOLS,Michigan,21-Suburb: Large
ALLEN VILLAGE,Missouri,11-City: Large
ALLEN-BOWDEN,Oklahoma,41-Rural: Fringe
ALLEN-COCHRAN ENTERPRISES INC. (4347),Arizona,12-City: Mid-size
ALLEN-OTTER CREEK CCSD 65,Illinois,42-Rural: Distant
ALLENDALE 01,South Carolina,41-Rural: Fringe
ALLENDALE CCSD 17,Illinois,42-Rural: Distant
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,21-Suburb: Large
ALLENDALE PUBLIC SCHOOLS,Michigan,21-Suburb: Large
